Symbol,MarketCap,Price,Circulating Supply,Volume24h,percent_1H,percent_24H,percent_7D,Date
DOGE,497365242.96,0.004399,113063150489,12961632.0,-1.19,-14.59,-40.41,20180204
BTC,117184401904.96,6955.27,16848287,9285294080.0,-0.61,-16.4,-38.05,20180205
ETH,68005241459.43,697.95,97435614,4269529856.0,-0.39,-16.97,-40.5,20180205
XRP,26986524296.89,0.6918,39009215838,1286175104.0,-0.53,-16.5,-47.33,20180205
ADA,8487764859.84,0.3274,25927070538,658548160.0,-0.51,-15.76,-46.73,20180205
LTC,6903938902.45,125.33,55086083,844677952.0,-0.01,-16.35,-30.42,20180205
USDT,2208954400.35,0.9963,2217140814,4078984448.0,-0.48,-0.51,-0.05,20180205
BNB,663892120.18,6.705,99014000,55276936.0,-1.07,-21.15,-47.28,20180205
DOGE,399524214.91,0.003533,113077183783,12489431.0,-0.71,-20.13,-49.15,20180205
BTC,130658086420.26,7754.0,16850412,13999815680.0,1.63,10.69,-23.38,20180206
ETH,77294550409.31,793.12,97456013,6518265344.0,2.91,12.83,-26.25,20180206
XRP,30286472667.69,0.7764,39009215838,2361136384.0,2.53,11.74,-32.31,20180206
ADA,9586612193.54,0.3698,25927070538,1338386432.0,5.45,14.86,-29.54,20180206
LTC,7879124119.2,142.99,55102333,1148414336.0,1.56,13.22,-13.03,20180206
USDT,2239500913.41,1.0101,2217140814,6247247872.0,0.9,0.94,1.93,20180206
BNB,820712365.98,8.2889,99014000,97189880.0,1.14,22.31,-26.16,20180206
DOGE,493153750.73,0.004361,113091177301,19139092.0,2.58,22.09,-27.68,20180206
BTC,128435063722.73,7621.3,16852112,9169280000.0,-2.66,-0.64,-25.01,20180207
ETH,73796311640.59,757.07,97476433,3896177920.0,-4.02,-2.81,-32.62,20180207
XRP,28238586119.66,0.7239,39009215838,1133366272.0,-1.97,-5.17,-36.41,20180207
ADA,8826802106.23,0.3404,25927070538,679743680.0,-1.45,-5.08,-34.21,20180207
LTC,7617270756.93,138.2,55116633,817807744.0,-2.89,-2.27,-15.11,20180207
USDT,2220252197.63,1.0014,2217140814,3307540480.0,-0.31,-0.16,0.71,20180207
BNB,801519111.86,8.095,99014000,77970264.0,-2.16,-0.9,-26.94,20180207
DOGE,486005028.59,0.004297,113105126976,12990053.0,-4.07,0.49,-28.46,20180207
BTC,139306631460.47,8265.59,16853812,9346752512.0,-0.05,6.57,-7.79,20180208
ETH,79733634275.61,817.81,97496854,3708190208.0,0.34,5.28,-18.3,20180208
XRP,31412672853.9,0.8053,39009215838,947314688.0,3.51,9.81,-13.06,20180208
ADA,9245178845.03,0.3566,25927070538,346382912.0,0.74,4.03,-10.5,20180208
LTC,8240418377.64,149.47,55132308,869206528.0,0.4,6.14,7.65,20180208
